iter	RMSE
0	14.33424216
1	13.43854524
2	12.59982248
3	11.81778754
4	11.16479999
5	10.56709225
6	10.03893447
7	9.577540767
8	9.166906812
9	8.738694407
10	8.373113478
11	8.07823131
12	7.813877318
13	7.54195127
14	7.298357167
15	7.085922829
16	6.899417047
17	6.729762608
18	6.5732376
19	6.442680932
20	6.335994532
21	6.225676698
22	6.126263068
23	6.031721252
24	5.947768221
25	5.891590632
26	5.827082047
27	5.77923421
28	5.727660504
29	5.686254922
30	5.641196691
31	5.595104841
32	5.552541124
33	5.517088517
34	5.495711317
35	5.473236005
36	5.449338391
37	5.426293058
38	5.396635487
39	5.374734925
40	5.345937133
41	5.318914959
42	5.294489727
43	5.277889499
44	5.254678796
45	5.237620923
46	5.224554573
47	5.208200908
48	5.185192027
49	5.170263222
50	5.14389058
51	5.131959922
52	5.120123787
53	5.11207996
54	5.105589306
55	5.098549233
56	5.088125773
57	5.074104539
58	5.065915288
59	5.058597368
60	5.04447924
61	5.02744509
62	5.012694518
63	5.002750331
64	5.000857015
65	4.990372429
66	4.983562337
67	4.971015052
68	4.955952866
69	4.944362198
70	4.937582269
71	4.928772514
72	4.921226012
73	4.916549695
74	4.910627741
75	4.898143502
76	4.889766816
77	4.873638095
78	4.861995987
79	4.848255839
80	4.838438003
81	4.828324983
82	4.816512066
83	4.804761042
84	4.797768833
85	4.786128537
86	4.779339014
87	4.767316498
88	4.762742817
89	4.75227029
90	4.746989434
91	4.733000136
92	4.723712427
93	4.716943264
94	4.712344812
95	4.701433438
96	4.692199123
97	4.682803339
98	4.680699761
99	4.678524707
