iter	Passed	Remaining
0	0	546
1	1	525
2	1	513
3	2	512
4	2	510
5	3	501
6	3	499
7	4	497
8	4	497
9	5	498
10	5	497
11	6	496
12	6	495
13	7	494
14	7	495
15	8	493
16	8	491
17	8	490
18	9	487
19	9	487
20	10	487
21	10	486
22	11	485
23	11	484
24	12	484
25	12	482
26	13	483
27	13	483
28	14	482
29	14	482
30	15	482
31	15	482
32	16	480
33	16	481
34	17	481
35	17	479
36	18	478
37	18	478
38	19	477
39	19	477
40	20	476
41	20	476
42	21	476
43	21	475
44	22	474
45	22	473
46	23	473
47	23	472
48	24	472
49	24	472
50	25	472
51	25	471
52	26	470
53	26	470
54	27	469
55	27	469
56	28	474
57	29	473
58	29	473
59	30	472
60	30	472
61	31	472
62	31	472
63	32	471
64	32	470
65	33	470
66	33	469
67	34	468
68	34	468
69	35	468
70	35	467
71	36	467
72	36	466
73	37	465
74	37	464
75	38	464
76	38	463
77	39	463
78	39	462
79	40	462
80	40	459
81	40	458
82	41	458
83	41	457
84	42	454
85	42	454
86	43	451
87	43	451
88	44	450
89	44	450
90	45	449
91	45	449
92	45	447
93	46	446
94	46	446
95	47	445
96	47	444
97	48	443
98	48	443
99	49	443
100	49	442
101	50	442
102	50	441
103	51	441
104	51	440
105	52	440
106	52	439
107	53	439
108	53	439
109	54	438
110	54	438
111	55	437
112	55	437
113	56	436
114	56	436
115	57	436
116	57	435
117	58	435
118	58	434
119	59	434
120	59	434
121	60	433
122	60	433
123	61	432
124	61	432
125	62	431
126	62	431
127	63	430
128	63	430
129	64	429
130	64	429
131	65	428
132	65	428
133	66	427
134	66	427
135	67	426
136	67	426
137	68	425
138	68	425
139	69	424
140	69	424
141	70	424
142	70	423
143	71	423
144	71	422
145	72	422
146	72	421
147	73	421
148	73	420
149	74	420
150	74	420
151	75	419
152	75	419
153	76	418
154	76	417
155	77	416
156	77	416
157	78	415
158	78	415
159	79	414
160	79	414
161	80	413
162	80	412
163	80	412
164	81	411
165	81	411
166	82	410
167	82	410
168	83	409
169	83	409
170	84	409
171	84	408
172	85	408
173	85	407
174	86	407
175	86	406
176	87	406
177	87	405
178	88	405
179	88	404
180	89	404
181	89	403
182	90	403
183	90	402
184	91	402
185	91	401
186	92	401
187	92	400
188	93	399
189	93	399
190	94	399
191	94	398
192	95	398
193	95	397
194	96	396
195	96	396
196	97	396
197	97	395
198	98	395
199	98	394
200	99	394
201	99	393
202	100	393
203	100	392
204	101	392
205	101	391
206	102	391
207	102	390
208	103	390
209	103	389
210	104	388
211	104	388
212	104	387
213	105	387
214	105	386
215	106	386
216	107	386
217	107	385
218	107	385
219	108	384
220	108	384
221	109	383
222	109	383
223	110	382
224	110	382
225	111	381
226	111	381
227	112	380
228	112	380
229	113	379
230	113	379
231	114	378
232	114	378
233	115	377
234	115	377
235	116	376
236	116	375
237	117	375
238	117	374
239	118	374
240	118	373
241	119	373
242	119	372
243	120	372
244	120	371
245	121	371
246	121	370
247	122	370
248	122	369
249	123	369
250	123	369
251	124	368
252	124	367
253	125	367
254	125	366
255	126	366
256	126	366
257	127	365
258	127	365
259	128	364
260	128	364
261	129	363
262	129	363
263	130	362
264	130	362
265	131	361
266	131	361
267	132	360
268	132	360
269	133	359
270	133	359
271	134	358
272	134	358
273	135	357
274	135	357
275	136	356
276	136	356
277	137	356
278	137	355
279	138	355
280	138	354
281	139	354
282	139	353
283	140	353
284	140	352
285	141	352
286	141	351
