iter	Passed	Remaining
0	46	46394
1	47	23453
2	47	15800
3	48	11964
4	49	9846
5	50	8288
6	50	7162
7	50	6323
8	51	5664
9	51	5138
10	52	4708
11	52	4352
12	53	4048
13	53	3789
14	54	3564
15	54	3366
16	55	3191
17	55	3036
18	56	2897
19	56	2772
20	57	2658
21	57	2557
22	57	2462
23	58	2376
24	58	2296
25	59	2223
26	59	2156
27	60	2092
28	60	2033
29	61	1978
30	61	1926
31	62	1878
32	62	1834
33	63	1792
34	63	1752
35	64	1714
36	64	1678
37	64	1644
38	65	1612
39	65	1581
40	66	1552
41	66	1524
42	67	1497
43	67	1472
44	68	1449
45	68	1426
46	69	1404
47	69	1383
48	70	1362
49	70	1343
50	71	1324
51	71	1306
52	72	1289
53	72	1271
54	73	1256
55	73	1241
56	74	1226
57	74	1213
58	75	1199
59	75	1185
60	76	1172
61	76	1159
62	77	1147
63	77	1135
64	78	1123
65	78	1112
66	79	1100
67	79	1090
68	79	1079
69	80	1068
70	80	1058
71	81	1048
72	81	1039
73	82	1030
74	82	1021
75	83	1012
76	83	1003
77	84	995
78	84	987
79	85	979
80	85	969
81	85	961
82	86	954
83	86	946
84	87	937
85	87	931
86	87	922
87	88	916
88	88	909
89	89	903
90	89	897
91	90	891
92	90	883
93	91	877
94	91	871
95	92	866
96	92	859
97	92	854
98	93	849
99	93	844
100	94	839
101	94	834
102	95	829
103	95	824
104	96	819
105	96	814
106	97	810
107	97	805
108	98	801
109	98	797
110	98	792
111	99	788
112	99	784
113	100	780
114	100	775
115	101	771
116	101	767
117	102	764
118	102	760
119	103	756
120	103	752
121	104	748
122	104	745
123	104	741
124	105	738
125	105	734
126	106	731
127	106	728
128	107	725
129	107	721
130	108	718
131	108	715
132	109	712
133	109	709
134	110	706
135	110	703
136	111	700
137	111	697
138	112	694
139	112	691
140	113	688
141	113	685
142	113	683
143	114	680
144	114	677
145	116	679
146	116	676
147	117	674
148	117	671
149	118	669
150	118	666
151	118	663
152	119	661
153	119	658
154	120	655
155	120	653
156	121	650
157	121	648
158	122	646
159	122	643
160	123	641
161	123	639
162	123	636
163	124	634
164	124	632
165	125	629
166	125	627
167	126	625
168	126	623
169	127	621
170	127	619
171	128	617
172	128	615
173	129	613
174	129	611
175	130	609
176	130	607
177	131	605
178	131	603
179	131	601
180	132	599
181	132	597
182	133	595
183	133	593
184	134	591
185	134	589
186	135	587
187	135	585
188	136	584
189	136	582
190	137	580
191	137	578
192	138	577
193	138	575
194	138	573
195	139	571
196	139	570
197	140	568
198	140	566
199	141	565
200	141	563
201	142	561
202	142	560
203	143	558
204	143	556
205	144	555
206	144	553
207	145	552
208	145	550
209	145	549
210	146	547
211	146	546
212	147	544
213	147	543
214	148	542
215	148	540
216	150	542
217	151	542
218	151	541
219	152	540
220	152	538
221	153	537
222	153	536
223	154	534
224	154	533
225	156	536
226	157	534
227	157	533
228	158	532
229	158	530
230	158	529
231	159	527
232	159	526
233	161	528
234	161	527
235	162	525
236	162	524
237	163	523
238	163	522
239	164	520
240	164	519
241	165	518
242	165	517
243	166	515
244	166	514
245	167	513
246	168	512
247	168	510
248	169	509
249	169	508
250	170	507
251	170	506
252	171	505
253	171	503
254	172	502
255	172	501
256	173	500
257	173	499
258	174	498
259	174	497
260	175	496
261	175	494
262	176	493
263	176	492
264	177	491
265	177	490
266	178	489
267	178	488
268	179	487
269	179	485
270	180	484
271	180	483
272	181	482
273	181	481
274	182	480
275	182	479
276	183	478
277	183	477
278	184	476
279	184	475
280	185	474
281	185	473
282	186	472
283	187	471
284	187	470
285	187	469
286	188	468
287	189	467
288	189	466
289	190	465
290	190	464
291	191	463
292	191	462
293	192	461
294	192	460
295	193	459
296	193	458
297	194	457
298	194	456
299	195	455
300	195	454
301	196	453
302	196	452
303	197	451
304	197	450
305	198	449
306	198	448
307	199	447
308	199	446
309	200	445
310	200	444
311	201	443
312	201	442
313	202	441
314	202	440
315	203	439
316	203	438
317	204	438
318	204	437
319	205	436
320	205	435
321	206	434
322	206	433
323	207	432
324	207	431
325	208	430
326	208	429
327	209	428
328	209	427
329	210	426
330	210	425
331	211	424
332	211	423
333	212	422
334	212	421
335	213	420
336	213	420
337	214	419
338	214	418
339	215	417
340	215	416
341	216	415
342	216	414
343	217	414
344	217	413
345	218	412
346	218	411
347	219	410
348	219	409
349	220	408
350	220	407
351	221	407
352	221	406
353	222	405
354	222	404
355	223	403
356	223	402
357	224	402
358	224	401
359	225	400
360	225	399
361	226	398
362	226	397
363	227	397
364	227	396
365	228	395
366	228	394
367	229	393
368	229	392
369	230	391
370	230	391
371	231	390
372	231	389
373	232	388
374	232	387
375	233	386
376	233	386
377	234	385
378	234	384
379	235	383
380	235	383
381	236	382
382	236	381
383	237	380
384	237	379
385	238	378
386	238	378
387	239	377
388	239	376
389	240	375
390	240	374
391	241	374
392	241	373
393	242	372
394	242	371
395	243	370
396	243	370
397	244	369
398	244	368
399	245	367
400	245	367
401	246	366
402	246	365
403	247	364
404	247	364
405	248	363
406	248	362
407	249	361
408	249	360
409	250	360
410	250	359
411	251	358
412	251	357
413	252	357
414	252	356
415	253	355
416	253	354
417	254	354
418	254	353
419	255	352
420	255	351
421	256	350
422	256	350
423	257	349
424	257	348
425	258	347
426	258	347
427	259	346
428	259	345
429	260	344
430	260	344
431	261	343
432	261	342
433	262	341
434	262	341
435	263	340
436	263	339
437	264	338
438	264	338
439	265	337
440	265	336
441	266	336
442	266	335
443	267	334
444	267	333
445	268	333
446	268	332
447	269	331
448	269	330
449	270	330
450	270	329
451	271	328
452	271	327
453	272	327
454	272	326
455	273	325
456	273	325
457	274	324
458	274	323
459	275	322
460	275	322
461	276	321
462	276	320
463	277	320
464	277	319
465	278	318
466	278	318
467	279	317
468	279	316
469	280	315
470	280	315
471	280	314
472	281	313
473	282	312
474	282	312
475	282	311
476	283	310
477	283	310
478	284	309
479	284	308
480	285	307
481	285	307
482	286	306
483	286	305
484	287	305
485	287	304
486	288	303
487	288	303
488	289	302
489	289	301
490	290	300
491	290	300
492	291	299
493	291	298
494	292	298
495	292	297
496	293	296
497	293	296
498	294	295
499	294	294
500	295	294
501	295	293
502	296	292
503	296	292
504	297	291
505	297	290
506	298	290
507	298	289
508	299	288
509	299	288
510	300	287
511	300	286
512	301	286
513	302	285
514	302	284
515	303	284
516	303	283
517	304	283
518	304	282
519	305	281
520	305	281
521	306	280
522	306	279
523	307	279
524	307	278
525	308	277
526	308	277
527	309	276
528	309	275
529	310	275
530	310	274
531	311	273
532	311	273
533	312	272
534	312	271
535	313	271
536	313	270
537	314	269
538	314	269
539	315	268
540	315	267
541	316	267
542	316	266
543	317	265
544	317	265
545	318	264
546	318	263
547	318	263
548	319	262
549	319	261
550	320	261
551	321	260
552	321	259
553	322	259
554	322	258
555	323	258
556	323	257
557	324	256
558	324	256
559	325	255
560	325	254
561	326	254
562	326	253
563	327	252
564	327	252
565	328	251
566	328	251
567	329	250
568	329	249
569	330	249
570	330	248
571	331	247
572	331	247
573	332	246
574	332	245
575	333	245
576	333	244
577	334	244
578	334	243
579	335	242
580	335	242
581	336	241
582	336	240
583	337	240
584	337	239
585	338	239
586	338	238
587	339	237
588	339	237
589	340	236
590	340	235
591	341	235
592	341	234
593	342	234
594	342	233
595	343	232
596	344	232
597	344	231
598	344	230
599	345	230
600	345	229
601	346	229
602	346	228
603	347	227
604	347	227
605	348	226
606	348	225
607	349	225
608	349	224
609	350	224
610	350	223
611	351	222
612	351	222
613	352	221
614	352	220
615	353	220
616	353	219
617	354	219
618	354	218
619	355	217
620	355	217
621	356	216
622	356	215
623	357	215
624	357	214
625	358	214
626	358	213
627	359	212
628	359	212
629	360	211
630	360	211
631	361	210
632	361	209
633	362	209
634	362	208
635	363	207
636	363	207
637	364	206
638	364	206
639	365	205
640	365	204
641	366	204
642	366	203
643	367	203
644	367	202
645	368	201
646	368	201
647	369	200
648	369	200
649	370	199
650	370	198
651	371	198
652	371	197
653	372	196
654	372	196
655	373	195
656	373	195
657	374	194
658	374	193
659	375	193
660	375	192
661	376	192
662	376	191
663	377	190
664	377	190
665	378	189
666	378	188
667	379	188
668	379	187
669	380	187
670	380	186
671	381	185
672	381	185
673	382	184
674	382	184
675	383	183
676	383	182
677	383	182
678	384	181
679	384	181
680	385	180
681	385	179
682	386	179
683	386	178
684	387	178
685	387	177
686	388	176
687	388	176
688	389	175
689	389	175
690	390	174
691	390	173
692	391	173
693	391	172
694	392	172
695	392	171
696	393	170
697	393	170
698	394	169
699	394	169
700	395	168
701	395	168
702	396	167
703	396	166
704	397	166
705	397	165
706	398	165
707	398	164
708	399	163
709	399	163
710	400	162
711	400	162
712	401	161
713	401	160
714	402	160
715	402	159
716	403	159
717	403	158
718	403	157
719	404	157
720	404	156
721	405	156
722	406	155
723	406	154
724	407	154
725	407	153
726	407	153
727	408	152
728	409	152
729	409	151
730	410	150
731	410	150
732	411	149
733	411	149
734	412	148
735	412	147
736	413	147
737	413	146
738	414	146
739	414	145
740	415	145
741	415	144
742	416	143
743	416	143
744	417	142
745	417	142
746	418	141
747	418	141
748	419	140
749	419	139
750	420	139
751	420	138
752	421	138
753	421	137
754	422	137
755	422	136
756	423	135
757	423	135
758	424	134
759	424	134
760	425	133
761	425	132
762	426	132
763	426	131
764	427	131
765	427	130
766	428	130
767	428	129
768	429	128
769	429	128
770	430	127
771	430	127
772	431	126
773	431	126
774	432	125
775	432	124
776	433	124
777	433	123
778	434	123
779	434	122
780	435	121
781	435	121
782	436	120
783	436	120
784	437	119
785	437	119
786	438	118
787	438	117
788	439	117
789	439	116
790	440	116
791	440	115
792	441	115
793	441	114
794	442	114
795	442	113
796	443	112
797	443	112
798	444	111
799	444	111
800	445	110
801	445	110
802	446	109
803	446	108
804	447	108
805	447	107
806	448	107
807	448	106
808	449	106
809	449	105
810	450	104
811	450	104
812	451	103
813	451	103
814	452	102
815	452	102
816	453	101
817	453	100
818	454	100
819	454	99
820	455	99
821	455	98
822	455	98
823	456	97
824	457	96
825	457	96
826	457	95
827	458	95
828	458	94
829	459	94
830	460	93
831	460	92
832	460	92
833	461	91
834	462	91
835	462	90
836	463	90
837	463	89
838	463	89
839	464	88
840	464	87
841	465	87
842	465	86
843	466	86
844	466	85
845	467	85
846	467	84
847	468	83
848	468	83
849	469	82
850	469	82
851	470	81
852	471	81
853	471	80
854	472	80
855	472	79
856	473	78
857	473	78
858	474	77
859	474	77
860	475	76
861	475	76
862	476	75
863	476	75
864	477	74
865	477	73
866	478	73
867	478	72
868	479	72
869	479	71
870	480	71
871	480	70
872	481	69
873	481	69
874	482	68
875	482	68
876	483	67
877	483	67
878	484	66
879	484	66
880	485	65
881	485	64
882	486	64
883	486	63
884	487	63
885	487	62
886	488	62
887	488	61
888	489	61
889	489	60
890	490	59
891	490	59
892	491	58
893	491	58
894	492	57
895	492	57
896	493	56
897	493	56
898	494	55
899	494	54
900	495	54
901	495	53
902	496	53
903	496	52
904	497	52
905	497	51
906	498	51
907	498	50
908	499	49
909	499	49
910	500	48
911	500	48
912	501	47
913	501	47
914	502	46
915	502	46
916	503	45
917	503	44
918	504	44
919	504	43
920	505	43
921	505	42
922	506	42
923	506	41
924	507	41
925	507	40
926	508	40
927	508	39
928	509	38
929	509	38
930	510	37
931	510	37
932	511	36
933	511	36
934	512	35
935	512	35
936	513	34
937	513	33
938	514	33
939	514	32
940	515	32
941	515	31
942	516	31
943	516	30
944	517	30
945	517	29
946	518	28
947	518	28
948	519	27
949	519	27
950	520	26
951	520	26
952	521	25
953	521	25
954	522	24
955	522	24
956	523	23
957	523	22
958	524	22
959	524	21
960	525	21
961	525	20
962	526	20
963	526	19
964	527	19
965	527	18
966	528	18
967	528	17
968	529	16
969	529	16
970	530	15
971	530	15
972	531	14
973	531	14
974	532	13
975	532	13
976	533	12
977	533	12
978	534	11
979	534	10
980	535	10
981	535	9
982	536	9
983	536	8
984	537	8
985	537	7
986	538	7
987	538	6
988	539	6
989	539	5
990	540	4
991	541	4
992	541	3
993	542	3
994	542	2
995	543	2
996	543	1
997	544	1
998	544	0
999	544	0
